,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
140,Q9NPJ6,5.8682243,0.0,0.17040929999999999,1,15
141,Q9NR12,5.8682243,0.0,0.17040929999999999,1,15
142,Q9NXT0,5.8682243,0.0,0.17040929999999999,1,15
143,Q9UBK9,5.85514019,0.00885776,0.1707901,3,15
144,Q9UKK3,5.8682243,0.0,0.17040929999999999,1,15
145,Q9Y303,5.8682243,0.0,0.17040929999999999,1,15
146,Q9Y4W6,5.8682243,0.0,0.17040929999999999,1,15
147,Q9Y6X8,5.8682243,0.0,0.17040929999999999,1,15
148,Q5NEC2,7.48598131,0.00192939,0.13358302,2,17
149,P02461,7.04392523,0.00281172,0.1419663,2,16
150,Q5NEC8,1.0,0.0,1.0,1,1
151,Q9ULD4,1.0,0.0,1.0,1,1
152,Q5NEE1,8.36074766,0.00378683,0.11960653,4,18
153,P42224,9.35981308,0.0,0.10683974,1,19
154,Q4LDE5,9.35981308,0.0,0.10683974,1,19
155,Q6QIN9,7.38785047,0.00293714,0.13535737,2,17
156,Q5NEE2,1.0,1.0,1.0,2,1
157,P20936,1.5,0.0,0.66666667,1,2
158,P84077,1.5,0.0,0.66666667,1,2
159,Q5NEG0,6.94766355,0.0074608999999999995,0.14393328,3,16
160,O75970,7.94299065,0.00373657,0.12589716,3,17
161,P06239,5.95607477,0.01282612,0.16789581,3,15
162,P61006,7.94672897,0.0,0.12583794,1,17
163,Q5NEH0,9.4411215,0.0,0.10591962,1,19
164,Q9BYB0,8.44205607,0.00186916,0.11845456,2,18
165,Q5NEH1,5.97009346,0.03796434,0.16750157,13,15
166,P01266,6.96915888,0.0,0.14348934,1,16
167,P08572,6.19345794,0.01168333,0.16146069,3,16
168,P17931,6.47943925,0.00970162,0.15433434,2,15
169,P23769,6.96915888,0.0,0.14348934,1,16
170,P51148,6.96915888,0.0,0.14348934,1,16
171,Q13469,6.96915888,0.0,0.14348934,1,16
172,Q14974,6.96915888,0.0,0.14348934,1,16
173,Q9BT23,6.96915888,0.0,0.14348934,1,16
174,Q9H074,6.96915888,0.0,0.14348934,1,16
175,Q9HCK8,6.96915888,0.0,0.14348934,1,16
