,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
471,P60709,5.74417563,0.0,0.17408938,1,11
472,Q0JRZ9,5.56944444,0.00199051,0.17955112,4,10
473,Q5T0U0,5.44489247,0.00084246,0.18365836,2,10
474,Q96BP3,5.7405914000000005,0.00357941,0.17419808,2,11
475,Q81KL2,1.0,0.0,1.0,1,1
476,Q9H7U2,1.0,0.0,1.0,1,1
477,Q81KL3,4.92741935,0.00089606,0.20294599,2,10
478,Q92841,5.92697133,0.0,0.16872024,1,11
479,Q81KL4,5.44354839,0.00179171,0.1837037,3,11
480,O75410,6.44310036,0.0,0.15520478,1,12
481,P61769,4.44578853,0.05564915,0.22493198,21,10
482,Q9ULX6,6.44310036,0.0,0.15520478,1,12
483,Q81KM0,4.75985663,0.02466605,0.21009036,19,9
484,B2RNB2,5.7594085999999995,0.0,0.17362894,1,10
485,O15117,5.69041219,0.00215809,0.17573419,3,10
486,O15201,5.7594085999999995,0.0,0.17362894,1,10
487,P20042,5.74417563,0.00127149,0.17408938,2,10
488,P23467,5.7594085999999995,0.0,0.17362894,1,10
489,P52630,5.7594085999999995,0.0,0.17362894,1,10
490,P78536,5.7594085999999995,0.0,0.17362894,1,10
491,Q6ZRG2,5.7594085999999995,0.0,0.17362894,1,10
492,Q8IVE3,5.7594085999999995,0.0,0.17362894,1,10
493,Q8NEF9,5.75851254,0.00089606,0.17365596,2,10
494,Q96G74,5.7594085999999995,0.0,0.17362894,1,10
495,Q96GC9,5.7594085999999995,0.0,0.17362894,1,10
496,Q9H1P3,5.7594085999999995,0.0,0.17362894,1,10
497,Q81KN5,1.0,1.0,1.0,2,1
498,P30622,1.5,0.0,0.66666667,1,2
499,P33176,1.5,0.0,0.66666667,1,2
500,Q81KN9,1.0,0.0,1.0,1,1
501,P20933,1.0,0.0,1.0,1,1
502,Q81KP1,1.0,0.0,1.0,1,1
503,P06239,1.0,0.0,1.0,1,1
504,Q81KP6,5.67921147,0.00591262,0.17608078,8,10
505,O95785,6.67876344,0.0,0.14972832,1,11
506,P30512,5.85349462,0.00239267,0.17083812,4,10
507,Q04900,6.67786738,0.00089606,0.14974841,2,11
508,Q86VI1,6.67876344,0.0,0.14972832,1,11
509,Q8TAF8,6.67876344,0.0,0.14972832,1,11
510,Q9H3P7,6.67876344,0.0,0.14972832,1,11
511,Q81KP7,6.15591398,0.0,0.16244541,1,11
512,Q81KP9,5.64874552,0.0,0.17703046,1,10
513,Q81KQ7,4.99103943,0.01113918,0.20035907,9,9
514,P06396,5.9905914000000005,0.0,0.16692843,1,10
515,P53634,5.98969534,0.00089606,0.16695339999999997,2,10
516,Q4ADV7,5.9905914000000005,0.0,0.16692843,1,10
517,Q7Z7A1,5.06227599,0.00568139,0.19753961,5,10
518,Q92624,5.9905914000000005,0.0,0.16692843,1,10
519,Q9P1T7,5.84901434,0.00428891,0.17096898,4,10
520,Q9Y2R2,5.9905914000000005,0.0,0.16692843,1,10
521,Q81KQ8,4.86021505,0.00526289,0.20575221,6,10
522,P14324,5.80241935,5.793e-05,0.1723419,2,11
523,Q8ND30,5.85976703,0.0,0.17065525,1,11
524,Q9Y371,5.85976703,0.0,0.17065525,1,11
525,Q81KR5,1.0,0.0,1.0,1,1
526,Q01085,1.0,0.0,1.0,1,1
527,Q81KR8,4.75268817,0.00407424,0.21040724,3,10
528,Q96MW5,5.75224014,0.0,0.17384532,1,11
529,Q81KR9,1.0,0.0,1.0,1,1
530,Q8TCP9,1.0,0.0,1.0,1,1
531,Q81KS2,1.0,0.0,1.0,1,1
532,P22102,1.0,0.0,1.0,1,1
533,Q81KS3,1.0,1.0,1.0,2,1
534,B9A6K1,1.5,0.0,0.66666667,1,2
535,Q92609,1.5,0.0,0.66666667,1,2
536,Q81KS5,7.38799283,0.00268657,0.13535476,3,12
537,P31146,6.39112903,0.00357941,0.15646688,2,11
538,P48634,8.38664875,0.00089606,0.11923714,2,13
539,Q68CZ2,8.3875448,0.0,0.1192244,1,13
540,Q81KS6,1.0,1.0,1.0,2,1
541,P50395,1.5,0.0,0.66666667,1,2
542,Q9NXR1,1.5,0.0,0.66666667,1,2
543,Q81KT8,4.46953405,0.08744633,0.22373697,54,9
