protein_b	int_type
Q5NEH1	Q9HCK8
Q5NII1	O43866
Q5NG28	P16671
Q5NIF9	Q6QIN9
Q5NEX3	Q2TAC2
Q5NEQ5	O75794
Q5NID2	P32246
Q5NFT9	O75794
Q5NFQ6	Q7L592
Q5NIN9	Q6P2H3
Q5NGW2	Q7L592
Q5NGF9	Q8N0Z3
Q5NHZ4	Q14511
Q5NF74	P25774
Q5NF37	P04040
Q5NHX0	P47755
Q5NFJ3	Q01518
Q5NID9	Q9Y2G2
Q5NEE1	Q6QIN9
Q5NG93	P11836
Q5NI33	P30260
Q5NF74	Q86XR8
Q5NFK4	Q9NX63
Q5NHS4	Q7LBR1
Q5NIF4	P86790
Q5NEX3	Q5SZL2
Q5NFW7	Q68CZ6
Q5NFW7	O43303
Q5NGL8	Q8IYT3
Q5NEC0	Q13042
Q5NGC9	O95319
Q5NHD1	Q96MT8
Q5NIB3	Q99459
Q5NGV7	P60953
Q5NET3	O75956
Q5NG10	Q13042
Q5NEA3	P60953
Q5NHX0	Q7Z2F6
Q5NG37	Q6PHZ7
Q5NFL4	Q6JBY9
Q5NI93	Q86TM6
Q5NEC0	P52630
Q5NI90	Q9UNK0
Q5NIG6	Q02447
Q5NH45	P16949
Q5NFV6	Q13247
Q5NEB6	Q969G3
Q5NFA1	O00560
Q5NHX9	Q96RL6
Q5NGL9	P08579
Q5NGF9	O94979
Q5NEI9	Q9H6T3
Q5NGE6	O94979
Q5NI89	Q7Z7A1
Q5NH45	Q5EBL4
Q5NI89	Q5U651
Q5NGF8	Q9P2F8
Q5NG39	Q9H7P9
Q5NID2	Q10587
Q5NI02	Q9BT92
Q5NEC0	Q15388
Q5NEC0	P48995
Q5NIP6	P04233
Q5NF74	P42694
Q5NGB9	P04233
Q5NI02	P08575
Q5NI79	P07332
Q5NIP6	O14641
Q5NH37	P01100
Q5NIB1	Q9H869
Q5NE94	Q92610
Q5NIE3	P28838
Q5NFR9	O94901
Q5NEC0	Q9UBK9
Q5NH45	P46939
Q5NGW2	Q9BTA9
Q5NEE1	Q9UGI8
Q5NHN8	Q96A61
Q5NGT9	Q9Y5Q9
Q5NI93	O15162
Q5NGT6	O15162
Q5NIN9	O15294
Q5NG93	P50542
Q5NHN8	O94986
Q5NEB8	Q5T3J3
Q5NEY0	P61769
Q5NFB0	Q5T3J3
Q5NHZ0	P20073
Q5NI89	Q12802
Q5NIP6	A8MW92
Q5NGV7	A8K7A4
Q5NHI8	Q15942
Q5NH62	P01903
Q5NHY6	Q7L945
Q5NGF1	P30480
Q5NF53	Q9UBW7
Q5NI85	Q9Y2W2
Q5NHD8	O14907
Q5NHE7	Q15853
Q5NID1	Q92574
Q5NE82	P0C0L4
Q5NEC0	Q99459
Q5NIM0	P04632
Q5NGE6	P19838
Q5NI66	Q13438
Q5NH38	O43189
Q5NF27	P55209
Q5NI93	Q9Y3T9
Q5NFS5	P35658
Q5NGV3	Q99685
Q5NI90	Q9Y2L9
Q5NHE7	P23588
Q5NGF9	O60941
Q5NI74	P16144
Q5NID1	P20700
Q5NHP5	P16144
Q5NG44	Q08380
Q5NI86	P63172
Q5NEY1	O14641
Q5NI67	Q96CP6
Q5NFN4	Q15486
Q5NHB5	Q9Y4I1
Q5NFP5	Q9UJ70
Q5NGE6	Q9NQZ2
Q5NEM9	P04233
Q5NEU6	P04233
Q5NI89	P04233
Q5NI40	O00560
Q5NFM9	Q96CN9
Q5NIH4	Q9UI68
Q5NER4	Q9UBE0
Q5NGN4	P17947
Q5NHI8	Q6PKC3
Q5NGL8	Q9UPN4
Q5NHY6	Q7Z7A1
Q5NEM8	Q9NQC1
