,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
2749,Q8D1J2,6.66467066,0.0,0.15004492,1,12
2750,Q8D1J3,7.00704473,0.0,0.14271352,1,14
2751,Q96L73,6.00739697,0.00070447,0.16646145,2,13
2752,Q8D1J4,5.94188094,0.0,0.16829688,1,12
2753,Q8D1J6,5.59668897,0.00400316,0.17867707,6,12
2754,Q8N895,6.59633674,0.0,0.1515993,1,13
2755,Q99700,6.59633674,0.0,0.1515993,1,13
2756,Q8D1J7,1.5,0.0,0.66666667,1,2
2757,P02775,1.0,1.0,1.0,2,1
2758,Q8D1J9,6.30257133,0.0021224,0.1586654,5,12
2759,P07602,7.30221909,0.0,0.13694467,1,13
2760,Q92734,7.30221909,0.0,0.13694467,1,13
2761,Q8D1K0,4.90841846,0.00350858,0.20373161,2,12
2762,Q8D1K1,5.83127862,0.0,0.17148898,1,14
2763,Q8D1K2,1.0,0.0,1.0,1,1
2764,Q63HM2,1.0,0.0,1.0,1,1
2765,Q8D1K3,5.39661853,0.0,0.18530122,1,12
2766,Q8D1K6,5.69813315,0.0014087,0.17549607,3,14
2767,Q03431,6.69778091,0.0,0.14930318,1,15
2768,Q96DB2,6.69778091,0.0,0.14930318,1,15
2769,Q8D1L3,5.73758366,0.00431811,0.1742894,7,14
2770,O14818,6.73723142,0.0,0.14842892,1,15
2771,Q676U5,6.73723142,0.0,0.14842892,1,15
2772,Q6PIY7,6.73723142,0.0,0.14842892,1,15
2773,Q8N512,6.3906305,0.00013075,0.15647908,2,13
2774,Q8D1L5,1.0,0.0,1.0,1,1
2775,P53041,1.0,0.0,1.0,1,1
2776,Q8D1L8,8.28636844,0.0,0.12068013,1,16
2777,Q8D1M2,6.1285664,0.001374,0.1631703,3,14
2778,Q96KR1,7.06128919,0.0003572,0.1416172,2,15
2779,Q8D1M6,5.83761888,0.00021636,0.17130272,2,14
2780,Q8D1M8,5.00986263,0.009566100000000001,0.19960627,11,12
2781,Q8N163,6.00951039,0.0,0.16640291,1,13
2782,Q9Y3B2,6.00951039,0.0,0.16640291,1,13
2783,Q8D1M9,4.86051427,0.00141617,0.20573955,2,12
2784,Q8D1N0,5.55512504,0.00552094,0.18001395,7,14
2785,O43157,6.55477281,0.0,0.15256059,1,15
2786,P26440,6.55477281,0.0,0.15256059,1,15
2787,Q9NWZ5,6.2610074000000004,0.00030407,0.15971871,2,13
2788,Q8D1N2,5.00704473,0.00070447,0.19971861,2,12
2789,Q96DN2,6.006692500000001,0.0,0.16648097,1,13
2790,Q8D1N3,6.75977457,0.0,0.14793393,1,14
2791,Q8D1N7,7.41000352,0.0,0.1349527,1,16
2792,Q8D1N9,10.31947869,0.0,0.09690412,1,16
2793,Q8D1P4,5.14371257,0.01002503,0.19441211,12,12
2794,O43312,6.14336034,0.0,0.16277736,1,13
2795,O43399,6.14336034,0.0,0.16277736,1,13
2796,O43760,6.14336034,0.0,0.16277736,1,13
2797,Q2L6J2,6.14336034,0.0,0.16277736,1,13
2798,Q8WY97,6.14336034,0.0,0.16277736,1,13
2799,Q9P1U0,6.14336034,0.0,0.16277736,1,13
2800,Q9Y3S1,6.14336034,0.0,0.16277736,1,13
2801,Q8D1P5,5.00704473,0.00070447,0.19971861,2,12
2802,Q8WU79,6.006692500000001,0.0,0.16648097,1,13
2803,Q8D1P6,5.46213455,0.00315767,0.18307861,5,12
2804,Q04727,6.46178232,0.0,0.15475606,1,13
2805,Q6P4A8,6.46178232,0.0,0.15475606,1,13
2806,Q8D1P7,4.89292004,0.00168589,0.20437693,2,12
2807,Q8D1P8,5.6861571,0.00425661,0.1758657,8,14
2808,O00629,6.68580486,0.0,0.14957062,1,15
2809,Q3BBV2,6.68580486,0.0,0.14957062,1,15
2810,Q7L3B6,6.68580486,0.0,0.14957062,1,15
2811,Q8N699,6.68580486,0.0,0.14957062,1,15
2812,Q8D1Q0,5.90877069,0.0031931999999999998,0.16923994,6,14
2813,Q9BR11,6.49348362,0.0001994,0.15400054,2,13
2814,Q9Y5P3,6.90841846,0.0,0.14475093,1,15
2815,Q8D1Q5,1.0,0.0,1.0,1,1
2816,O00470,1.0,0.0,1.0,1,1
2817,Q8D1Q7,1.0,0.0,1.0,1,1
2818,P52739,1.0,0.0,1.0,1,1
2819,Q8D1R0,5.56357872,0.00452101,0.17974042,7,12
2820,Q6AHZ1,5.84043677,0.00102989,0.17122007,3,13
2821,Q86WN1,6.56322649,0.0,0.15236409,1,13
2822,Q8N196,6.56322649,0.0,0.15236409,1,13
2823,Q8D1R1,6.97252554,0.00070447,0.14342006,2,14
2824,Q96MW5,7.9721733,0.0,0.12543631,1,15
2825,Q8D1R3,1.0,0.0,1.0,1,1
2826,Q8IWJ6,1.0,0.0,1.0,1,1
2827,Q8D1R4,7.56639662,0.00076605,0.13216331,3,14
2828,P04049,8.56604438,0.0,0.11674000000000001,1,15
2829,Q9H869,6.88305741,0.00086951,0.14528427,2,13
2830,Q8D1R8,5.00211342,0.00787615,0.1999155,5,11
2831,Q8D1R9,7.37689327,0.0,0.13555842,1,14
2832,Q8D1S0,6.9443466,0.0,0.14400203,1,14
2833,Q8D1U4,6.81331455,0.0,0.14677144,1,14
2834,Q8Z9R8,5.58612187,0.00723076,0.17901507,7,12
2835,Q8N4L2,6.58576964,0.0,0.15184254,1,13
2836,Q96HM7,6.57731596,0.00295597,0.15203770000000003,2,13
2837,Q9UJ71,6.58576964,0.0,0.15184254,1,13
2838,Q8Z9S7,5.80662205,0.00340988,0.17221717,6,14
2839,P63172,6.80626981,0.0,0.14692336,1,15
2840,Q13542,6.80626981,0.0,0.14692336,1,15
2841,Q8WV19,6.80626981,0.0,0.14692336,1,15
2842,Q9BWF3,6.80626981,0.0,0.14692336,1,15
2843,Q8Z9S8,6.84008454,0.0,0.14619702,1,14
2844,Q8Z9U1,5.35294118,0.00083506,0.18681319,2,12
2845,Q8Z9U2,4.8915111,0.0078124,0.2044358,6,12
2846,P23467,5.89115886,0.0,0.16974589,1,13
2847,Q8Z9U3,1.0,0.0,1.0,1,1
2848,Q9NRZ9,1.0,0.0,1.0,1,1
2849,Q8Z9U7,5.26629095,0.00070447,0.18988696,2,12
2850,O15230,6.26593871,0.0,0.15959301,1,13
2851,Q8Z9U9,7.01620289,0.0,0.14252724,1,12
2852,Q8Z9V7,1.5,0.73333333,0.66666667,3,2
2853,Q9P291,2.33333333,0.0,0.42857143,1,3
2854,Q8Z9Z1,6.46319126,0.0,0.15472233,1,12
2855,Q8ZA10,6.17224375,0.0,0.16201564,1,14
