"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"248","5.73521505","0.0","0.17436138","0.0","1","10","false","O75400","13.0","1","0","0","0.684319","false","0","O75400","0","0.0"
"250","5.73521505","0.0","0.17436138","0.0","1","10","false","P13056","13.0","1","0","0","0.684319","false","0","P13056","0","0.0"
"252","5.46370968","0.00334357","0.18302583","0.0","4","10","false","P13693","10.0","4","0","0","0.70241935","false","0","P13693","167102","0.25"
"254","5.16532258","0.00189338","0.19359875","0.0","2","10","false","P35658","33.5","2","0","0","0.72231183","false","0","P35658","94894","0.5"
"256","5.2405914","0.00156202","0.19081816","0.0","3","10","false","Q15596","11.0","3","0","0","0.71729391","false","0","Q15596","99878","0.33333333"
"258","5.73521505","0.0","0.17436138","0.0","1","10","false","Q9BZK7","13.0","1","0","0","0.684319","false","0","Q9BZK7","0","0.0"
"260","5.73521505","0.0","0.17436138","0.0","1","10","false","Q9HD43","13.0","1","0","0","0.684319","false","0","Q9HD43","0","0.0"
"264","5.73521505","0.0","0.17436138","0.0","1","10","false","Q9UM00","13.0","1","0","0","0.684319","false","0","Q9UM00","0","0.0"
"266","5.85483871","0.0","0.1707989","0.0","1","10","false","A0A1V4B9W0","13.0","1","0","0","0.67634409","false","0","A0A1V4B9W0","0","0.0"
"268","5.85304659","8.9545E-4","0.17085119","0.0","3","10","false","A0A1V4BCE5","5.66666667","3","0","0","0.67646356","false","0","A0A1V4BCE5","72674","0.38888889"
"272","4.07616487","0.07946646","0.24532864","0.0","48","8","false","A0A1V4BGP0","5.77083333","48","0","0","0.79492234","false","0","A0A1V4BGP0","6785398","0.03118192"
"321","4.82526882","0.02240085","0.20724234","0.0","13","9","false","P13423","3.84615385","13","0","0","0.74498208","false","0","P13423","909764","0.08131868"
"323","4.40815412","0.04137561","0.22685232","0.0","13","9","false","P30480","10.61538462","13","0","0","0.77278973","false","0","P30480","1635884","0.08012821"
"325","5.58915771","5.8517E-4","0.17891784","0.0","2","10","false","P31629","13.0","2","0","0","0.69405615","false","0","P31629","30418","0.5"
"327","5.51657706","0.00616727","0.18127183","0.0","5","10","false","P45973","7.8","5","0","0","0.69889486","false","0","P45973","226034","0.2"
"329","5.11066308","0.00507524","0.19566933","0.0","3","10","false","P46940","21.66666667","3","0","0","0.72595579","false","0","P46940","184004","0.33879781"
"331","5.82482079","0.0","0.1716791","0.0","1","10","false","P58335","13.0","1","0","0","0.67834528","false","0","P58335","0","0.0"
"333","5.14202509","0.0021255","0.19447591","0.0","3","9","false","P63172","12.0","3","0","0","0.72386499","false","0","P63172","88914","0.34375"
"335","5.78181004","0.00752382","0.17295622","0.0","4","10","false","Q3MJ40","6.25","4","0","0","0.68121266","false","0","Q3MJ40","246018","0.25"
"337","5.73163082","3.4684E-4","0.17447041","0.0","2","10","false","Q4FZB7","8.0","2","0","0","0.68455795","false","0","Q4FZB7","18560","0.5"
"339","5.82302867","0.00179131","0.17173194","0.0","2","10","false","Q5JTD0","7.5","2","0","0","0.67846476","false","0","Q5JTD0","50420","0.5"
"341","5.82482079","0.0","0.1716791","0.0","1","10","false","Q9H6X2","13.0","1","0","0","0.67834528","false","0","Q9H6X2","0","0.0"
"343","5.35797491","0.00392309","0.18663768","0.0","3","10","false","Q9NQB0","19.66666667","3","0","0","0.70946834","false","0","Q9NQB0","174920","0.33333333"
"345","5.62948029","0.00365494","0.17763629","0.0","4","10","false","Q9UQC1","10.25","4","0","0","0.69136798","false","0","Q9UQC1","174208","0.25694444"
"347","7.03763441","0.00179171","0.1420932","0.0","3","11","false","P15917","1.66666667","3","0","0","0.59749104","false","0","P15917","68694","0.33333333"
"348","8.03718638","0.0","0.12442165","0.0","1","12","false","P46734","3.0","1","0","0","0.53085424","false","0","P46734","0","0.0"
"350","6.03987455","0.00315767","0.16556635","0.0","3","10","false","P53618","3.33333333","3","0","0","0.66400836","false","0","P53618","119704","0.33333333"
"352","8.03718638","0.0","0.12442165","0.0","1","12","false","P61923","3.0","1","0","0","0.53085424","false","0","P61923","0","0.0"
"354","1.0","1.0","1.0","0.0","3","1","false","P40136","1.0","3","0","0","1.0","false","0","P40136","6","0.0"
"355","1.66666667","0.0","0.6","0.0","1","2","false","B4DJ51","3.0","1","0","0","0.66666667","false","0","B4DJ51","0","0.0"
"357","1.66666667","0.0","0.6","0.0","1","2","false","P0DP23","3.0","1","0","0","0.66666667","false","0","P0DP23","0","0.0"
"359","1.66666667","0.0","0.6","0.0","1","2","false","Q9BRL5","3.0","1","0","0","0.66666667","false","0","Q9BRL5","0","0.0"
"361","7.10573477","0.0011787","0.1407314","0.0","4","12","false","P77819","2.25","4","0","0","0.59295102","false","0","P77819","52268","0.3125"
"362","6.90188172","3.437E-4","0.14488802","0.0","2","12","false","A4D0Z4","4.5","2","0","0","0.60654122","false","0","A4D0Z4","18534","0.58333333"
"364","8.10528674","0.0","0.12337626","0.0","1","13","false","P31943","4.0","1","0","0","0.52631422","false","0","P31943","0","0.0"
"366","6.30958781","0.00286013","0.15848896","0.0","4","11","false","P49908","4.25","4","0","0","0.64602748","false","0","P49908","109424","0.25"
"368","6.90188172","3.437E-4","0.14488802","0.0","2","12","false","Q96CN9","4.5","2","0","0","0.60654122","false","0","Q96CN9","18534","0.58333333"
"370","7.05555556","0.0","0.14173228","0.0","1","11","false","P94217","2.0","1","0","0","0.5962963","false","0","P94217","0","0.0"
"371","6.05600358","8.9606E-4","0.1651254","0.0","2","10","false","Q9NUX5","13.5","2","0","0","0.66293309","false","0","Q9NUX5","36528","0.5"
"373","6.52150538","8.9606E-4","0.15333883","0.0","2","11","false","Q44643","2.0","2","0","0","0.63189964","false","0","Q44643","34428","0.5"
"374","5.52284946","0.00263456","0.18106595","0.0","3","10","false","P07355","8.33333333","3","0","0","0.6984767","false","0","P07355","103370","0.33333333"
"376","7.52105735","0.0","0.13296003","0.0","1","12","false","P60468","2.0","1","0","0","0.56526284","false","0","P60468","0","0.0"
"378","4.92831541","0.0","0.20290909","0.0","1","10","false","Q6EZZ9","60.0","1","0","0","0.73811231","false","0","Q6EZZ9","0","0.0"
"380","6.22222222","0.00268657","0.16071429","0.0","3","11","false","Q6F011","3.0","3","0","0","0.65185185","false","0","Q6F011","86842","0.33333333"
"381","5.22535842","0.01353896","0.19137443","0.0","6","10","false","O43491","6.66666667","6","0","0","0.71830944","false","0","O43491","489122","0.16666667"
"383","7.22087814","8.9606E-4","0.13848731","0.0","2","12","false","P35555","2.0","2","0","0","0.58527479","false","0","P35555","28950","0.5"
"385","7.22177419","0.0","0.13847013","0.0","1","12","false","Q96FQ6","3.0","1","0","0","0.58521505","false","0","Q96FQ6","0","0.0"
"387","5.15591398","0.0059837","0.19395203","0.0","8","10","false","Q6F051","4.375","8","0","0","0.72293907","false","0","Q6F051","240352","0.125"
"389","5.15367384","0.00125844","0.19403634","0.0","2","9","false","P05107","15.0","2","0","0","0.72308841","false","0","P05107","56126","0.5"
"391","5.76836918","7.1994E-4","0.17335922","0.0","3","11","false","Q12805","5.0","3","0","0","0.68210872","false","0","Q12805","37184","0.33333333"
"393","5.58019713","2.9912E-4","0.17920514","0.0","2","11","false","Q13651","6.5","2","0","0","0.69465352","false","0","Q13651","16834","0.5"
"395","6.15456989","8.9606E-4","0.16248089","0.0","2","11","false","Q14765","4.5","2","0","0","0.65636201","false","0","Q14765","32050","0.5"
"397","5.33826165","0.00487851","0.1873269","0.0","7","11","false","Q5TB80","4.14285714","7","0","0","0.71078256","false","0","Q5TB80","235988","0.14965986"
"399","6.15546595","0.0","0.16245724","0.0","1","11","false","Q96SN8","8.0","1","0","0","0.65630227","false","0","Q96SN8","0","0.0"
"401","6.15546595","0.0","0.16245724","0.0","1","11","false","Q9NQZ2","8.0","1","0","0","0.65630227","false","0","Q9NQZ2","0","0.0"
"403","1.0","1.0","1.0","0.0","2","1","false","Q6HQX5","1.0","2","0","0","1.0","false","0","Q6HQX5","2","0.0"
"404","1.5","0.0","0.66666667","0.0","1","2","false","P08263","2.0","1","0","0","0.75","false","0","P08263","0","0.0"
"406","1.5","0.0","0.66666667","0.0","1","2","false","Q9BU02","2.0","1","0","0","0.75","false","0","Q9BU02","0","0.0"
"408","6.62455197","0.0","0.1509536","0.0","1","12","false","Q6KM77","4.0","1","0","0","0.62502987","false","0","Q6KM77","0","0.0"
"409","5.625","0.00228702","0.17777778","0.0","4","11","false","Q8TAQ2","6.25","4","0","0","0.69166667","false","0","Q8TAQ2","87486","0.25"
"411","5.52150538","0.00536791","0.18111003","0.0","4","10","false","Q6KMJ2","5.75","4","0","0","0.69856631","false","0","Q6KMJ2","173094","0.25"
"412","6.52105735","0.0","0.15334936","0.0","1","11","false","P57721","4.0","1","0","0","0.63192951","false","0","P57721","0","0.0"
"414","6.51836918","0.00268697","0.15341261","0.0","4","11","false","Q8IZD2","1.75","4","0","0","0.63210872","false","0","Q8IZD2","86562","0.25"
"416","6.52105735","0.0","0.15334936","0.0","1","11","false","Q8N836","4.0","1","0","0","0.63192951","false","0","Q8N836","0","0.0"
"418","4.52732975","0.03852945","0.22088075","0.0","17","9","false","Q9HCC8","8.41176471","17","0","0","0.76484468","false","0","Q9HCC8","1740718","0.06176471"
"420","5.20340502","0.00914945","0.19218185","0.0","9","10","false","Q6KMS8","3.77777778","9","0","0","0.719773","false","0","Q6KMS8","403366","0.13227513"
"421","5.31137993","0.00325051","0.18827499","0.0","5","10","false","E9KL35","11.0","5","0","0","0.71257467","false","0","E9KL35","216540","0.22222222"
"424","5.37141577","0.00267741","0.18617066","0.0","3","10","false","P55199","21.33333333","3","0","0","0.70857228","false","0","P55199","116220","0.33333333"
"426","6.20116487","0.00179131","0.16126002","0.0","2","11","false","P55795","5.5","2","0","0","0.65325568","false","0","P55795","68268","0.5"
"428","5.31137993","0.00325051","0.18827499","0.0","5","10","false","P63244","11.0","5","0","0","0.71257467","false","0","P63244","216540","0.22222222"
"430","5.43324373","0.00345625","0.18405212","0.0","3","10","false","Q14154","9.0","3","0","0","0.70445042","false","0","Q14154","163332","0.33333333"
"432","6.20206093","8.9606E-4","0.16123673","0.0","2","11","false","Q7L2H7","5.0","2","0","0","0.65319594","false","0","Q7L2H7","34136","0.5"
"434","6.20295699","0.0","0.16121343","0.0","1","11","false","Q8N8E3","9.0","1","0","0","0.6531362","false","0","Q8N8E3","0","0.0"
"436","6.20295699","0.0","0.16121343","0.0","1","11","false","Q9HBU6","9.0","1","0","0","0.6531362","false","0","Q9HBU6","0","0.0"
"438","4.3297491","0.05319756","0.23096026","0.0","22","9","false","Q6KNA9","6.04545455","22","0","0","0.77801673","false","0","Q6KNA9","2395464","0.04946524"
"439","5.32930108","0.0","0.18764187","0.0","1","10","false","D9ZGF6","22.0","1","0","0","0.71137993","false","0","D9ZGF6","0","0.0"
"441","5.32930108","0.0","0.18764187","0.0","1","10","false","O00408","22.0","1","0","0","0.71137993","false","0","O00408","0","0.0"
"443","5.32930108","0.0","0.18764187","0.0","1","10","false","O00478","22.0","1","0","0","0.71137993","false","0","O00478","0","0.0"
"446","5.16173835","0.00576807","0.19373318","0.0","4","10","false","P08572","9.5","4","0","0","0.72255078","false","0","P08572","272358","0.25"
"452","5.05331541","0.00447993","0.19788988","0.0","4","9","false","Q09472","9.75","4","0","0","0.72977897","false","0","Q09472","179240","0.25"
"454","5.32930108","0.0","0.18764187","0.0","1","10","false","Q12852","22.0","1","0","0","0.71137993","false","0","Q12852","0","0.0"
"456","5.10080645","0.0025083","0.19604743","0.0","4","9","false","Q12899","9.0","4","0","0","0.7266129","false","0","Q12899","100374","0.25"
"458","5.32930108","0.0","0.18764187","0.0","1","10","false","Q13093","22.0","1","0","0","0.71137993","false","0","Q13093","0","0.0"
"460","5.32930108","0.0","0.18764187","0.0","1","10","false","Q15773","22.0","1","0","0","0.71137993","false","0","Q15773","0","0.0"
"462","5.20922939","0.00104987","0.19196697","0.0","3","9","false","Q59H65","9.33333333","3","0","0","0.71938471","false","0","Q59H65","38634","0.33333333"
"464","4.77374552","0.01663045","0.20947912","0.0","7","9","false","Q6ZMY6","13.42857143","7","0","0","0.74841697","false","0","Q6ZMY6","791438","0.14621849"
"466","4.92607527","0.00106682","0.20300136","0.0","2","9","false","Q8N5I3","20.5","2","0","0","0.73826165","false","0","Q8N5I3","75912","0.51315789"
"468","5.32930108","0.0","0.18764187","0.0","1","10","false","Q92765","22.0","1","0","0","0.71137993","false","0","Q92765","0","0.0"
"471","5.32930108","0.0","0.18764187","0.0","1","10","false","Q9NRV9","22.0","1","0","0","0.71137993","false","0","Q9NRV9","0","0.0"
"473","5.22804659","0.00321212","0.19127603","0.0","3","10","false","Q9NTJ3","12.33333333","3","0","0","0.71813023","false","0","Q9NTJ3","137206","0.33333333"
"476","7.02508961","0.0","0.14234694","0.0","1","12","false","Q6KRG0","3.0","1","0","0","0.59832736","false","0","Q6KRG0","0","0.0"
"477","6.02553763","0.00163118","0.16596029","0.0","3","11","false","P08962","7.66666667","3","0","0","0.66496416","false","0","P08962","72896","0.33333333"
"479","1.0","0.0","1.0","0.0","1","1","false","Q81JD6","1.0","1","0","0","1.0","false","0","Q81JD6","0","0.0"
"480","1.0","0.0","1.0","0.0","1","1","false","P48552","1.0","1","0","0","1.0","false","0","P48552","0","0.0"
"482","1.0","0.0","1.0","0.0","1","1","false","Q81JD7","1.0","1","0","0","1.0","false","0","Q81JD7","0","0.0"
"483","1.0","0.0","1.0","0.0","1","1","false","Q9UGT4","1.0","1","0","0","1.0","false","0","Q9UGT4","0","0.0"
"485","6.15591398","0.0","0.16244541","0.0","1","11","false","Q81JE0","13.0","1","0","0","0.6562724","false","0","Q81JE0","0","0.0"
