"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"11840","5.8682243","0.0","0.1704093","0.0","1","15","false","P25963","60.0","1","0","0","0.80527103","false","0","P25963","0","0.0"
"1946","5.8682243","0.0","0.1704093","0.0","1","15","false","P27824","60.0","1","0","0","0.80527103","false","0","P27824","0","0.0"
"11843","5.8682243","0.0","0.1704093","0.0","1","15","false","P31785","60.0","1","0","0","0.80527103","false","0","P31785","0","0.0"
"3410","5.8682243","0.0","0.1704093","0.0","1","15","false","P32519","60.0","1","0","0","0.80527103","false","0","P32519","0","0.0"
"5313","5.41028037","0.02992123","0.1848333","0.0","3","15","false","P42356","25.0","3","0","0","0.82358879","false","0","P42356","128098","0.33333333"
"11847","5.8682243","0.0","0.1704093","0.0","1","15","false","P48200","60.0","1","0","0","0.80527103","false","0","P48200","0","0.0"
"3134","5.8682243","0.0","0.1704093","0.0","1","15","false","P49005","60.0","1","0","0","0.80527103","false","0","P49005","0","0.0"
"1051","5.8682243","0.0","0.1704093","0.0","1","15","false","P52630","60.0","1","0","0","0.80527103","false","0","P52630","0","0.0"
"1827","5.73364486","0.02512246","0.17440913","0.0","4","15","false","P55209","17.25","4","0","0","0.81065421","false","0","P55209","83706","0.25"
"544","5.8682243","0.0","0.1704093","0.0","1","15","false","P63261","60.0","1","0","0","0.80527103","false","0","P63261","0","0.0"
"11854","5.8682243","0.0","0.1704093","0.0","1","15","false","P63313","60.0","1","0","0","0.80527103","false","0","P63313","0","0.0"
"598","5.8682243","0.0","0.1704093","0.0","1","15","false","Q07075","60.0","1","0","0","0.80527103","false","0","Q07075","0","0.0"
"1887","5.86448598","0.00373482","0.17051793","0.0","2","15","false","Q08117","31.0","2","0","0","0.80542056","false","0","Q08117","11148","0.5"
"11858","5.8682243","0.0","0.1704093","0.0","1","15","false","Q13011","60.0","1","0","0","0.80527103","false","0","Q13011","0","0.0"
"765","5.86635514","0.00186916","0.1704636","0.0","2","15","false","Q13042","30.5","2","0","0","0.80534579","false","0","Q13042","5576","0.5"
"976","5.8682243","0.0","0.1704093","0.0","1","15","false","Q13503","60.0","1","0","0","0.80527103","false","0","Q13503","0","0.0"
"2734","5.8682243","0.0","0.1704093","0.0","1","15","false","Q13576","60.0","1","0","0","0.80527103","false","0","Q13576","0","0.0"
"11863","5.78224299","0.00719902","0.17294327","0.0","2","15","false","Q14692","32.0","2","0","0","0.80871028","false","0","Q14692","26788","0.5"
"11865","5.8682243","0.0","0.1704093","0.0","1","15","false","Q15388","60.0","1","0","0","0.80527103","false","0","Q15388","0","0.0"
