"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"19156","6.00880592","7.0447E-4","0.16642242","0.0","2","13","false","P98082","6.0","2","0","0","0.721733","false","0","P98082","44338","0.5"
"19158","1.0","0.0","1.0","0.0","1","1","false","Q7CIU9","1.0","1","0","0","1.0","false","0","Q7CIU9","0","0.0"
"19159","1.0","0.0","1.0","0.0","1","1","false","Q8IXX5","1.0","1","0","0","1.0","false","0","Q8IXX5","0","0.0"
"19161","5.8397323","0.00678488","0.17124073","0.0","9","12","false","Q7CIW0","3.0","9","0","0","0.73112598","false","0","Q7CIW0","511400","0.11111111"
"19162","6.39274392","5.8513E-4","0.15642735","0.0","2","13","false","O43542","7.5","2","0","0","0.70040312","false","0","O43542","33738","0.5"
"19166","6.83938006","0.0","0.14621208","0.0","1","13","false","Q13118","9.0","1","0","0","0.67559","false","0","Q13118","0","0.0"
"19168","6.83938006","0.0","0.14621208","0.0","1","13","false","Q7KZ85","9.0","1","0","0","0.67559","false","0","Q7KZ85","0","0.0"
"578","6.83938006","0.0","0.14621208","0.0","1","13","false","Q96BY2","9.0","1","0","0","0.67559","false","0","Q96BY2","0","0.0"
"1979","6.83867559","7.0447E-4","0.14622714","0.0","2","13","false","Q9GZT6","5.0","2","0","0","0.67562913","false","0","Q9GZT6","49988","0.5"
"19173","6.83938006","0.0","0.14621208","0.0","1","13","false","Q9ULC5","9.0","1","0","0","0.67559","false","0","Q9ULC5","0","0.0"
"19175","6.65692145","0.0","0.15021959","0.0","1","14","false","Q7CIW1","5.0","1","0","0","0.68572659","false","0","Q7CIW1","0","0.0"
"19177","5.70447341","0.00127022","0.17530102","0.0","2","12","false","Q7CIW3","14.0","2","0","0","0.73864037","false","0","Q7CIW3","87744","0.5"
"19180","6.71961958","0.0","0.14881795","0.0","1","14","false","Q7CIW9","3.0","1","0","0","0.68224336","false","0","Q7CIW9","0","0.0"
"19181","5.71997182","0.00193904","0.17482604","0.0","3","13","false","Q13207","4.33333333","3","0","0","0.73777934","false","0","Q13207","113390","0.33333333"
"19183","9.06199366","0.0","0.11035099","0.0","1","16","false","Q7CIX7","2.0","1","0","0","0.55211146","false","0","Q7CIX7","0","0.0"
"2323","8.0623459","7.0447E-4","0.12403338","0.0","2","15","false","Q96PQ7","1.5","2","0","0","0.60764745","false","0","Q96PQ7","44044","0.5"
"19185","1.0","0.0","1.0","0.0","1","1","false","Q7CIX9","1.0","1","0","0","1.0","false","0","Q7CIX9","0","0.0"
"19186","1.0","0.0","1.0","0.0","1","1","false","Q9NS73","1.0","1","0","0","1.0","false","0","Q9NS73","0","0.0"
"19188","7.49313138","7.0447E-4","0.13345555","0.0","2","14","false","Q7CIY0","2.0","2","0","0","0.63927048","false","0","Q7CIY0","32994","0.5"
"19189","8.49277915","0.0","0.11774709","0.0","1","15","false","O15269","2.0","1","0","0","0.58373449","false","0","O15269","0","0.0"
